!I	¡	INVERTED EXCLAMATION MARK
Ct	¢	[CURR] CENT SIGN
Pd	£	[CURR] POUND SIGN
Cu	¤	CURRENCY SIGN
Ye	¥	[CURR] YEN SIGN
BB	¦	BROKEN BAR
SE	§	SECTION SIGN
':	¨	DIAERESIS
Co	©	COPYRIGHT SIGN
-a	ª	FEMININE ORDINAL INDICATOR
<<	«	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
NO	¬	NOT SIGN
--	­	SOFT HYPHEN
Rg	®	REGISTERED SIGN
'm	¯	MACRON
DG	°	DEGREE SIGN
+-	±	PLUS-MINUS SIGN
2S	²	SUPERSCRIPT TWO
3S	³	SUPERSCRIPT THREE
''	´	ACUTE ACCENT
My	µ	MICRO SIGN
PI	¶	PILCROW SIGN
.M	·	MIDDLE DOT
',	¸	CEDILLA
1S	¹	SUPERSCRIPT ONE
-o	º	MASCULINE ORDINAL INDICATOR
>>	»	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
14	¼	VULGAR FRACTION ONE QUARTER
12	½	VULGAR FRACTION ONE HALF
34	¾	VULGAR FRACTION THREE QUARTERS
?I	¿	INVERTED QUESTION MARK

A!	À	LATIN CAPITAL LETTER A WITH GRAVE
A'	Á	LATIN CAPITAL LETTER A WITH ACUTE
A>	Â	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
A?	Ã	LATIN CAPITAL LETTER A WITH TILDE
A:	Ä	LATIN CAPITAL LETTER A WITH DIAERESIS
AA	Å	LATIN CAPITAL LETTER A WITH RING ABOVE
AE	Æ	LATIN CAPITAL LETTER AE
C,	Ç	LATIN CAPITAL LETTER C WITH CEDILLA
E!	È	LATIN CAPITAL LETTER E WITH GRAVE
E'	É	LATIN CAPITAL LETTER E WITH ACUTE
E>	Ê	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
E:	Ë	LATIN CAPITAL LETTER E WITH DIAERESIS
I!	Ì	LATIN CAPITAL LETTER I WITH GRAVE
I'	Í	LATIN CAPITAL LETTER I WITH ACUTE
I>	Î	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
I:	Ï	LATIN CAPITAL LETTER I WITH DIAERESIS
D-	Ð	[ICELANDIC] LATIN CAPITAL LETTER ETH
N?	Ñ	LATIN CAPITAL LETTER N WITH TILDE
O!	Ò	LATIN CAPITAL LETTER O WITH GRAVE
O'	Ó	LATIN CAPITAL LETTER O WITH ACUTE
O>	Ô	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
O?	Õ	LATIN CAPITAL LETTER O WITH TILDE
O:	Ö	LATIN CAPITAL LETTER O WITH DIAERESIS
*X	×	MULTIPLICATION SIGN
O/	Ø	LATIN CAPITAL LETTER O WITH STROKE
U!	Ù	LATIN CAPITAL LETTER U WITH GRAVE
U'	Ú	LATIN CAPITAL LETTER U WITH ACUTE
U>	Û	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U:	Ü	LATIN CAPITAL LETTER U WITH DIAERESIS
Y'	Ý	LATIN CAPITAL LETTER Y WITH ACUTE
TH	Þ	[ICELANDIC] LATIN CAPITAL LETTER THORN
ss	ß	[GERMAN] LATIN SMALL LETTER SHARP S
a!	à	LATIN SMALL LETTER A WITH GRAVE
a'	á	LATIN SMALL LETTER A WITH ACUTE
a>	â	LATIN SMALL LETTER A WITH CIRCUMFLEX
a?	ã	LATIN SMALL LETTER A WITH TILDE
a:	ä	LATIN SMALL LETTER A WITH DIAERESIS
aa	å	LATIN SMALL LETTER A WITH RING ABOVE
ae	æ	LATIN SMALL LETTER AE
c,	ç	LATIN SMALL LETTER C WITH CEDILLA
e!	è	LATIN SMALL LETTER E WITH GRAVE
e'	é	LATIN SMALL LETTER E WITH ACUTE
e>	ê	LATIN SMALL LETTER E WITH CIRCUMFLEX
e:	ë	LATIN SMALL LETTER E WITH DIAERESIS
i!	ì	LATIN SMALL LETTER I WITH GRAVE
i'	í	LATIN SMALL LETTER I WITH ACUTE
i>	î	LATIN SMALL LETTER I WITH CIRCUMFLEX
i:	ï	LATIN SMALL LETTER I WITH DIAERESIS
d-	ð	[ICELANDIC] LATIN SMALL LETTER ETH
n?	ñ	LATIN SMALL LETTER N WITH TILDE
o!	ò	LATIN SMALL LETTER O WITH GRAVE
o'	ó	LATIN SMALL LETTER O WITH ACUTE
o>	ô	LATIN SMALL LETTER O WITH CIRCUMFLEX
o?	õ	LATIN SMALL LETTER O WITH TILDE
o:	ö	LATIN SMALL LETTER O WITH DIAERESIS
-:	÷	DIVISION SIGN
o/	ø	LATIN SMALL LETTER O WITH STROKE
u!	ù	LATIN SMALL LETTER U WITH GRAVE
u'	ú	LATIN SMALL LETTER U WITH ACUTE
u>	û	LATIN SMALL LETTER U WITH CIRCUMFLEX
u:	ü	LATIN SMALL LETTER U WITH DIAERESIS
y'	ý	LATIN SMALL LETTER Y WITH ACUTE
th	þ	[ICELANDIC] LATIN SMALL LETTER THORN
y:	ÿ	LATIN SMALL LETTER Y WITH DIAERESIS

A-	Ā	LATIN CAPITAL LETTER A WITH MACRON
a-	ā	LATIN SMALL LETTER A WITH MACRON
A(	Ă	LATIN CAPITAL LETTER A WITH BREVE
a(	ă	LATIN SMALL LETTER A WITH BREVE
A;	Ą	LATIN CAPITAL LETTER A WITH OGONEK
a;	ą	LATIN SMALL LETTER A WITH OGONEK
C'	Ć	LATIN CAPITAL LETTER C WITH ACUTE
c'	ć	LATIN SMALL LETTER C WITH ACUTE
C>	Ĉ	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
c>	ĉ	LATIN SMALL LETTER C WITH CIRCUMFLEX
C.	Ċ	LATIN CAPITAL LETTER C WITH DOT ABOVE
c.	ċ	LATIN SMALL LETTER C WITH DOT ABOVE
C<	Č	LATIN CAPITAL LETTER C WITH CARON
c<	č	LATIN SMALL LETTER C WITH CARON
D<	Ď	LATIN CAPITAL LETTER D WITH CARON
d<	ď	LATIN SMALL LETTER D WITH CARON
D/	Đ	LATIN CAPITAL LETTER D WITH STROKE
d/	đ	LATIN SMALL LETTER D WITH STROKE
E-	Ē	LATIN CAPITAL LETTER E WITH MACRON
e-	ē	LATIN SMALL LETTER E WITH MACRON
E(	Ĕ	LATIN CAPITAL LETTER E WITH BREVE
e(	ĕ	LATIN SMALL LETTER E WITH BREVE
E.	Ė	LATIN CAPITAL LETTER E WITH DOT ABOVE
e.	ė	LATIN SMALL LETTER E WITH DOT ABOVE
E;	Ę	LATIN CAPITAL LETTER E WITH OGONEK
e;	ę	LATIN SMALL LETTER E WITH OGONEK
E<	Ě	LATIN CAPITAL LETTER E WITH CARON
e<	ě	LATIN SMALL LETTER E WITH CARON
G>	Ĝ	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
g>	ĝ	LATIN SMALL LETTER G WITH CIRCUMFLEX
G(	Ğ	LATIN CAPITAL LETTER G WITH BREVE
g(	ğ	LATIN SMALL LETTER G WITH BREVE
G.	Ġ	LATIN CAPITAL LETTER G WITH DOT ABOVE
g.	ġ	LATIN SMALL LETTER G WITH DOT ABOVE
G,	Ģ	LATIN CAPITAL LETTER G WITH CEDILLA
g,	ģ	LATIN SMALL LETTER G WITH CEDILLA
H>	Ĥ	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
h>	ĥ	LATIN SMALL LETTER H WITH CIRCUMFLEX
H/	Ħ	LATIN CAPITAL LETTER H WITH STROKE
h/	ħ	LATIN SMALL LETTER H WITH STROKE
I?	Ĩ	LATIN CAPITAL LETTER I WITH TILDE
i?	ĩ	LATIN SMALL LETTER I WITH TILDE
I-	Ī	LATIN CAPITAL LETTER I WITH MACRON
i-	ī	LATIN SMALL LETTER I WITH MACRON
I(	Ĭ	LATIN CAPITAL LETTER I WITH BREVE
i(	ĭ	LATIN SMALL LETTER I WITH BREVE
I;	Į	LATIN CAPITAL LETTER I WITH OGONEK
i;	į	LATIN SMALL LETTER I WITH OGONEK
I.	İ	LATIN CAPITAL LETTER I WITH DOT ABOVE
i.	ı	LATIN SMALL LETTER DOTLESS I
IJ	Ĳ	LATIN CAPITAL LIGATURE IJ
ij	ĳ	LATIN SMALL LIGATURE IJ
J>	Ĵ	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
j>	ĵ	LATIN SMALL LETTER J WITH CIRCUMFLEX
K,	Ķ	LATIN CAPITAL LETTER K WITH CEDILLA
k,	ķ	LATIN SMALL LETTER K WITH CEDILLA
kk	ĸ	LATIN SMALL LETTER KRA
L'	Ĺ	LATIN CAPITAL LETTER L WITH ACUTE
l'	ĺ	LATIN SMALL LETTER L WITH ACUTE
L,	Ļ	LATIN CAPITAL LETTER L WITH CEDILLA
l,	ļ	LATIN SMALL LETTER L WITH CEDILLA
L<	Ľ	LATIN CAPITAL LETTER L WITH CARON
l<	ľ	LATIN SMALL LETTER L WITH CARON
L.	Ŀ	LATIN CAPITAL LETTER L WITH MIDDLE DOT
l.	ŀ	LATIN SMALL LETTER L WITH MIDDLE DOT
L/	Ł	LATIN CAPITAL LETTER L WITH STROKE
l/	ł	LATIN SMALL LETTER L WITH STROKE
N'	Ń	LATIN CAPITAL LETTER N WITH ACUTE
n'	ń	LATIN SMALL LETTER N WITH ACUTE
N,	Ņ	LATIN CAPITAL LETTER N WITH CEDILLA
n,	ņ	LATIN SMALL LETTER N WITH CEDILLA
N<	Ň	LATIN CAPITAL LETTER N WITH CARON
n<	ň	LATIN SMALL LETTER N WITH CARON
'n	ŉ	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
NG	Ŋ	LATIN CAPITAL LETTER ENG
ng	ŋ	LATIN SMALL LETTER ENG
O-	Ō	LATIN CAPITAL LETTER O WITH MACRON
o-	ō	LATIN SMALL LETTER O WITH MACRON
O(	Ŏ	LATIN CAPITAL LETTER O WITH BREVE
o(	ŏ	LATIN SMALL LETTER O WITH BREVE
O"	Ő	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
o"	ő	LATIN SMALL LETTER O WITH DOUBLE ACUTE
OE	Œ	LATIN CAPITAL LIGATURE OE
oe	œ	LATIN SMALL LIGATURE OE
R'	Ŕ	LATIN CAPITAL LETTER R WITH ACUTE
r'	ŕ	LATIN SMALL LETTER R WITH ACUTE
R,	Ŗ	LATIN CAPITAL LETTER R WITH CEDILLA
r,	ŗ	LATIN SMALL LETTER R WITH CEDILLA
R<	Ř	LATIN CAPITAL LETTER R WITH CARON
r<	ř	LATIN SMALL LETTER R WITH CARON
S'	Ś	LATIN CAPITAL LETTER S WITH ACUTE
s'	ś	LATIN SMALL LETTER S WITH ACUTE
S>	Ŝ	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
s>	ŝ	LATIN SMALL LETTER S WITH CIRCUMFLEX
S,	Ş	LATIN CAPITAL LETTER S WITH CEDILLA
s,	ş	LATIN SMALL LETTER S WITH CEDILLA
S<	Š	LATIN CAPITAL LETTER S WITH CARON
s<	š	LATIN SMALL LETTER S WITH CARON
T,	Ţ	LATIN CAPITAL LETTER T WITH CEDILLA
t,	ţ	LATIN SMALL LETTER T WITH CEDILLA
T<	Ť	LATIN CAPITAL LETTER T WITH CARON
t<	ť	LATIN SMALL LETTER T WITH CARON
